objective,valid_geo,valid_pos,valid_dd,formula_id
0.03709039566213633,0.03647942253082839,0.8333333333333334,-0.000473805912740044,F00148
0.027125548046319534,0.03448634414006953,0.6666666666666666,-0.011058206239471957,F01862
0.026384813010841057,0.03344952910966632,0.8333333333333334,-0.024901473692289677,F01560
0.025213986290549485,0.031005800898668456,0.6666666666666666,-0.012435559070418933,F00152
0.025206866943617817,0.014287627697878716,0.8333333333333334,-0.00038756936603767667,F00442
0.024903948520401155,0.0268723124757081,0.8333333333333334,-0.0018838079168999045,F02117
0.02420154929093363,0.037532607360108605,0.8333333333333334,-0.01692066484636101,F01822
0.023992575125204144,0.031305097040910904,0.8333333333333334,-0.027068725230922186,F02759
0.02356376625142435,0.029869761037887174,0.8333333333333334,-0.002794879579673948,F03856
0.023180456463521813,0.02518898461230014,0.8333333333333334,0.0,F02622
0.023024059794924306,0.03381607848765692,0.6666666666666666,-0.017770163609796663,F00233
0.022815092695844245,0.015222751904188666,0.8333333333333334,-0.006146631753782605,F01618
0.02277611602791972,0.04134030978341663,0.8333333333333334,-0.039555904546578646,F01818
0.02255786350395982,0.026207998520347477,0.6666666666666666,-0.017066380096607436,F02496
0.022401695373195002,0.029722850403321083,0.6666666666666666,-0.02318550799908703,F00800
0.022182477707187787,0.02753942777511491,0.6666666666666666,-0.0070180330543194724,F03869
0.02217377761344467,0.023389675749454657,0.8333333333333334,-0.002542161055551384,F04024
0.022009266634634587,0.028153999982973025,0.6666666666666666,-0.01494832295228754,F02570
0.021719513019041323,0.028883555453061514,0.8333333333333334,-0.013289044822734963,F04731
0.021583870380484635,0.023222958784190326,0.8333333333333334,-0.003587221589862577,F03401
0.02148607430721976,0.029920061184127156,0.6666666666666666,-0.030721359799749326,F01568
0.021448678962328733,0.02789693279739532,0.8333333333333334,-0.0141479022215526,F01457
0.021241540415963316,0.02967750891973497,0.8333333333333334,-0.03097901557744287,F01890
0.02119345650912252,0.027384368949623896,0.6666666666666666,-0.00942838784147948,F00831
