month_end,train_start,train_end,valid_start,valid_end,formula_id,selection_objective,valid_geo,valid_pos,realized_return,turnover
2021-09-30,2020-03-31,2021-02-28,2021-03-31,2021-08-31,F02460,0.13641486848691492,0.12011470171038499,0.6666666666666666,0.06231659236292357,0.44999999999999996
2021-10-31,2020-04-30,2021-03-31,2021-04-30,2021-09-30,F04157,0.10839318181647767,0.0749162735936773,0.8333333333333334,0.048591930186810746,0.30000000000000004
2021-11-30,2020-05-31,2021-04-30,2021-05-31,2021-10-31,F04157,0.12180951256889917,0.09176664120259323,1.0,0.09463990992612677,0.44999999999999996
2021-12-31,2020-06-30,2021-05-31,2021-06-30,2021-11-30,F04157,0.12758583795092032,0.09750832706073741,1.0,-0.027687537332977817,0.5
2022-01-31,2020-07-31,2021-06-30,2021-07-31,2021-12-31,F02460,0.1116666799058133,0.08637885127496647,0.8333333333333334,0.02479387472296163,0.25
2022-02-28,2020-08-31,2021-07-31,2021-08-31,2022-01-31,F02460,0.0899998713466055,0.061989933073651506,0.8333333333333334,0.01116273961063262,0.6
2022-03-31,2020-09-30,2021-08-31,2021-09-30,2022-02-28,F01649,0.06714400552239091,0.05023842167257141,1.0,0.03417536866264436,0.75
2022-04-30,2020-10-31,2021-09-30,2021-10-31,2022-03-31,F03651,0.08385217222500134,0.061569274258403514,1.0,-0.08142242716944922,0.65
2022-05-31,2020-11-30,2021-10-31,2021-11-30,2022-04-30,F03237,0.10216381693366552,0.09749832875901496,0.8333333333333334,0.013573373913330803,0.7
2022-06-30,2020-12-31,2021-11-30,2021-12-31,2022-05-31,F03237,0.1004011540961008,0.09644095339860027,0.8333333333333334,-0.01559159002795164,0.8
2022-07-31,2021-01-31,2021-12-31,2022-01-31,2022-06-30,F01556,0.0989889876633044,0.09399321845071962,0.5,0.054377216199493865,0.7
2022-08-31,2021-02-28,2022-01-31,2022-02-28,2022-07-31,F01556,0.11102198096055363,0.1063724509848858,0.6666666666666666,-0.015380575042077925,0.8
2022-09-30,2021-03-31,2022-02-28,2022-03-31,2022-08-31,F03237,0.09980869824588377,0.10083766121929334,0.8333333333333334,-0.001418032697621895,0.9
2022-10-31,2021-04-30,2022-03-31,2022-04-30,2022-09-30,F01556,0.09860834223061453,0.09983962184636626,0.6666666666666666,0.020569017883874673,0.6
2022-11-30,2021-05-31,2022-04-30,2022-05-31,2022-10-31,F04258,0.044602302283410764,0.034343300866999035,0.6666666666666666,0.003004467681991845,0.55
2022-12-31,2021-06-30,2022-05-31,2022-06-30,2022-11-30,F04258,0.044188680680485704,0.034296808112370146,0.6666666666666666,0.03827861377386217,0.44999999999999996
2023-01-31,2021-07-31,2022-06-30,2022-07-31,2022-12-31,F04258,0.05169595399852922,0.04114244510273714,0.8333333333333334,-0.01593334541734234,0.35
2023-02-28,2021-08-31,2022-07-31,2022-08-31,2023-01-31,F01556,0.03304619291744078,0.014002590572258534,0.8333333333333334,-0.024529071212814738,0.7
2023-03-31,2021-09-30,2022-08-31,2022-09-30,2023-02-28,F01959,0.029200507699960132,0.019270667619515795,1.0,-0.04629721725121162,0.75
2023-04-30,2021-10-31,2022-09-30,2022-10-31,2023-03-31,F00019,0.028998139021413447,0.014008708812678473,0.8333333333333334,0.14259087370296222,0.25
2023-05-31,2021-11-30,2022-10-31,2022-11-30,2023-04-30,F04570,0.08719809410614719,0.07541959174869499,0.8333333333333334,0.005921764012787625,0.4
2023-06-30,2021-12-31,2022-11-30,2022-12-31,2023-05-31,F04570,0.08865765262074583,0.07646771989358193,0.8333333333333334,-0.013699964268465625,0.4
2023-07-31,2022-01-31,2022-12-31,2023-01-31,2023-06-30,F04570,0.08171033485070098,0.07098362717725192,0.6666666666666666,0.011149692080500786,0.30000000000000004
2023-08-31,2022-02-28,2023-01-31,2023-02-28,2023-07-31,F04570,0.0850782118671746,0.07416205131554077,0.8333333333333334,0.00897349956941686,0.35
2023-09-30,2022-03-31,2023-02-28,2023-03-31,2023-08-31,F04570,0.08384444113178599,0.0730245115996557,0.8333333333333334,-0.0277109190344708,0.35
2023-10-31,2022-04-30,2023-03-31,2023-04-30,2023-09-30,F04293,0.0763766549322752,0.0680419247103419,0.5,0.004277507092974407,0.09999999999999998
2023-11-30,2022-05-31,2023-04-30,2023-05-31,2023-10-31,F04293,0.011850594241582194,0.00034185399011886324,0.5,0.008455781688393359,0.15000000000000002
2023-12-31,2022-06-30,2023-05-31,2023-06-30,2023-11-30,F04293,0.014507303314602621,0.0017492353260758575,0.6666666666666666,-0.01798519752811739,0.15000000000000002
2024-01-31,2022-07-31,2023-06-30,2023-07-31,2023-12-31,F00148,0.017841599753978615,0.03647211267142178,0.6666666666666666,0.021621280320048387,0.8
2024-02-29,2022-08-31,2023-07-31,2023-08-31,2024-01-31,F01618,0.01563985370822664,0.010489259470793457,0.6666666666666666,0.013192022926428812,0.75
2024-03-31,2022-09-30,2023-08-31,2023-09-30,2024-02-29,F00148,0.030417864244122603,0.028762029601272034,0.8333333333333334,-0.0004738059127400139,0.85
