formula_id,months,geo,cum,pos,dd,ge7,min,max
F02262,60,0.029039278804729878,4.570794465525051,0.5666666666666667,-0.2977089911748021,15,-0.11694601757720872,0.5058998397530718
F01398,60,0.02763481767227638,4.132496005666963,0.5333333333333333,-0.21264794439575407,15,-0.08996681351375077,0.5019761083836602
F00632,60,0.027549874204732327,4.1071030974282845,0.4666666666666667,-0.1426722179277956,11,-0.059857423950047894,0.44175669893954056
F02705,60,0.027473027877385914,4.084237198720011,0.5333333333333333,-0.2650996118276574,18,-0.10189235215877226,0.4051104259615675
F01329,60,0.027341423357355645,4.04531141185753,0.5833333333333334,-0.31063001334391427,13,-0.10063541733389973,0.4945229865041548
F03616,60,0.027281820265186416,4.027778658493807,0.6,-0.29713736542886193,17,-0.08625263303787001,0.36476098418775144
F03003,60,0.027129233627499413,3.983166563180852,0.5333333333333333,-0.1934543551195318,9,-0.06279151550123348,0.4510366775201277
F04545,60,0.027120748294854287,3.980697145232404,0.5666666666666667,-0.24793832894662615,16,-0.09312572488533304,0.39651833523333335
F04242,60,0.02696801211422926,3.936452780006011,0.55,-0.270978955465355,14,-0.11324665340197629,0.5605281443127271
F01890,60,0.026750507742273714,3.874112819310528,0.55,-0.31283499524431346,14,-0.12215545715336097,0.5681831650942404
F01676,60,0.02674397257139069,3.872251772457992,0.5,-0.15903110961737454,10,-0.06668551167697041,0.44464269914270804
F00084,60,0.026652911101040806,3.846392418654877,0.5333333333333333,-0.21932736460289004,12,-0.09824629616424949,0.5292090325631024
F02800,60,0.026616101492473825,3.8359776864215123,0.5333333333333333,-0.19749612735502942,15,-0.0909976888188023,0.46833930331418583
F03512,60,0.026196460810915406,3.71879108816079,0.45,-0.141480054943236,10,-0.0691536704886533,0.4467395958730978
F01452,60,0.025671415953505864,3.5760962430844883,0.5,-0.1639651331283487,10,-0.057486771231537045,0.5216884986344589
F03309,60,0.02554148313823585,3.541443713369091,0.5833333333333334,-0.2725381069844375,14,-0.1103576366492283,0.49383523342607416
F03100,60,0.024598068981497283,3.297461381285017,0.43333333333333335,-0.31763367185406033,12,-0.06146660081146855,0.5000467095343354
F01686,60,0.024400962284348744,3.2481384805155997,0.6,-0.22694347222816091,11,-0.08336289156739544,0.4675916385540708
F04204,60,0.024295022855261313,3.221859212687499,0.5,-0.14550054523962275,9,-0.0367243011259013,0.45885404539759667
F00466,60,0.024248735267849927,3.2104273856916157,0.6,-0.27738955269867116,12,-0.08124615535041599,0.4710087738992156
F02283,60,0.02421425721639883,3.201931991966439,0.5333333333333333,-0.2780594040337059,16,-0.11221536916170977,0.4358232151561011
F01197,60,0.024172014061000502,3.19154625086441,0.5833333333333334,-0.25706124582479073,11,-0.1347533122923115,0.49869440849300517
F02681,60,0.024156286034221555,3.1876858703425492,0.5333333333333333,-0.1926071537687064,12,-0.09479090483708846,0.42761838442011624
F00486,60,0.023990045814510693,3.147096045150386,0.5333333333333333,-0.23960916528256804,13,-0.09109509369899599,0.4242412422089845
F04842,60,0.023848583236564518,3.1128608834004377,0.5333333333333333,-0.13235043107909994,11,-0.07326393626379354,0.47269691443213496
F03873,60,0.02384409739646966,3.1117798298845285,0.5666666666666667,-0.23110400852748436,10,-0.0920762301975912,0.3195830541476629
F02104,60,0.023765682385707056,3.0929274757081267,0.5833333333333334,-0.28223252334338156,13,-0.10952493401598637,0.48990644756153234
F02914,60,0.023573718391188152,3.047133928570693,0.5,-0.27029108204152996,11,-0.06883635092656035,0.4964763592551801
