factor,family,selected_formula_occurrence_months,selection_event_coverage,mean_signed_weight_when_present,median_signed_weight_when_present,mean_abs_weight_when_present
avg_amount20,liquidity,34,0.7083333333333334,-0.3243131350469707,-0.2834387210590017,0.3243131350469707
mom6,medium_momentum_reversal,33,0.6875,0.22871612523749982,0.23514732890775322,0.22871612523749982
mom12,long_momentum_reversal,32,0.6666666666666666,0.21743219393636143,0.43353589913443735,0.48806224497833495
vol20,volatility,17,0.3541666666666667,0.019555903845449037,0.13995337834682903,0.17053085461016526
high52_ratio,52w_position,15,0.3125,-0.25239573213581323,-0.17558524000905584,0.25239573213581323
maxdd60,drawdown_risk,11,0.22916666666666666,-0.21419086544493826,-0.24591465840620536,0.2393150729034594
mom3,short_reversal,10,0.20833333333333334,-0.32898959663397276,-0.220556822759276,0.32898959663397276
mom1,short_reversal,6,0.125,0.20006785959516535,0.14443007586518655,0.20006785959516535
