candidate,kind,pool,rule,bps,avg_exposure,avg_active_names,avg_turnover,FULL5Y_months,FULL5Y_geo_monthly,FULL5Y_cumulative,FULL5Y_positive_month_pct,FULL5Y_worst_month,FULL5Y_best_month,FULL5Y_max_drawdown_pct,TRAIN_months,TRAIN_geo_monthly,TRAIN_cumulative,TRAIN_positive_month_pct,TRAIN_worst_month,TRAIN_best_month,TRAIN_max_drawdown_pct,DEV_months,DEV_geo_monthly,DEV_cumulative,DEV_positive_month_pct,DEV_worst_month,DEV_best_month,DEV_max_drawdown_pct,OOS_months,OOS_geo_monthly,OOS_cumulative,OOS_positive_month_pct,OOS_worst_month,OOS_best_month,OOS_max_drawdown_pct,HOLDOUT_months,HOLDOUT_geo_monthly,HOLDOUT_cumulative,HOLDOUT_positive_month_pct,HOLDOUT_worst_month,HOLDOUT_best_month,HOLDOUT_max_drawdown_pct
BASELINE,BASE,20,M1_BASE,20.0,0.9833333333333333,19.666666666666668,0.8975000000000001,59,0.00624811957998921,0.4441085048375546,0.5423728813559322,-0.18410469861537182,0.27299531804639177,-0.4735760363437522,11,-0.023035600394755974,-0.22613336536611184,0.36363636363636365,-0.10785407754092977,0.06710720271920081,-0.2234049712113887,12,0.008608389322869467,0.10833465840154743,0.5833333333333334,-0.17967704364160159,0.26079485967957705,-0.30083087250887186,12,0.01603583050720147,0.2103424999682657,0.5,-0.1263154825902627,0.27299531804639177,-0.2937060349147085,12,0.04139276856108038,0.6269518169873127,0.75,-0.028903557371724405,0.18169798479215155,-0.028903557371724453
BASELINE,BASE,20,M1_BASE,40.0,0.9833333333333333,19.666666666666668,0.8975000000000001,59,0.004414502788551917,0.29677765409835044,0.5423728813559322,-0.18590469861537182,0.27099531804639176,-0.5099122410059171,11,-0.02492457568169086,-0.24243427501978032,0.36363636363636365,-0.10985407754092977,0.0653072027192008,-0.23117205604603852,12,0.0067588852730226644,0.08419064239287466,0.5833333333333334,-0.1816770436416016,0.2589948596795771,-0.3049218084199393,12,0.014185675138250598,0.1841580311231341,0.5,-0.1283154825902627,0.27099531804639176,-0.2992606345364106,12,0.03956434624753203,0.5930027076212334,0.75,-0.030903557371724406,0.17989798479215155,-0.030903557371724455
BASELINE,BASE,20,M1_BASE,60.0,0.9833333333333333,19.666666666666668,0.8975000000000001,59,0.0025808253546075934,0.1642446921996985,0.5084745762711864,-0.1877046986153718,0.26899531804639176,-0.5441104908662229,11,-0.026813588465632806,-0.25842274782905894,0.36363636363636365,-0.11185407754092977,0.06350720271920081,-0.23887705106703272,12,0.004909299203241977,0.06052859109304465,0.5833333333333334,-0.1836770436416016,0.25719485967957706,-0.3089967909228476,12,0.012335466549517799,0.1584930380773779,0.5,-0.1303154825902627,0.26899531804639176,-0.30478258462020424,12,0.03773589569401983,0.5597035941560065,0.75,-0.03290355737172441,0.17809798479215155,-0.03290355737172446
TV_ALL_BUY,TV,20,TV_ALL_D>0.1,20.0,0.010833333333333335,0.21666666666666667,0.010833333333333334,59,-0.0005432450308203993,-0.031551687208955514,0.06779661016949153,-0.009140909090909088,0.006740124319835578,-0.02593679009888694,11,0.0003123545272203995,0.0034412709252256146,0.18181818181818182,-5e-05,0.0018279323804649863,-5.0000000000105516e-05,12,-0.0007390421210609345,-0.008832546013831988,0.0,-0.007192858283252173,0.0,-0.0016515672195351883,12,-0.0008829462959617614,-0.01054405347120968,0.0,-0.007192854710014468,0.0,-0.0033754780846347865,12,-0.0005629463967474299,-0.006734479989257913,0.08333333333333333,-0.005128124927240424,0.001338887509151804,-0.006734479989257913
TV_ALL_BUY,TV,20,TV_ALL_D>0.1,40.0,0.010833333333333335,0.21666666666666667,0.010833333333333334,59,-0.0005652946913137671,-0.03281144928191182,0.06779661016949153,-0.009190909090909088,0.006690124319835578,-0.02676570261515765,11,0.0002941823469459365,0.0032407698986240963,0.18181818181818182,-0.0001,0.0017779323804649862,-0.00010000000000010001,12,-0.000764061634487165,-0.009130307424754736,0.0,-0.007242858283252174,0.0,-0.0019012194042126174,12,-0.0008996427848737024,-0.010742455712540289,0.0,-0.007242854710014468,0.0,-0.0035251330288874616,12,-0.0005879608507830998,-0.0070327588013119335,0.08333333333333333,-0.005178124927240424,0.001288887509151804,-0.0070327588013119335
TV_ALL_BUY,TV,20,TV_ALL_D>0.1,60.0,0.010833333333333335,0.21666666666666667,0.010833333333333334,59,-0.0005873450540042191,-0.034069640431283466,0.06779661016949153,-0.00924090909090909,0.006640124319835578,-0.027593956064753233,11,0.00027600958892307385,0.0030402989206113062,0.18181818181818182,-0.00015,0.0017279323804649863,-0.0001500000000000945,12,-0.0007890821909176185,-0.009427999243847518,0.0,-0.007292858283252174,0.0,-0.0021508266344321125,12,-0.0009163398318591179,-0.010940828115269974,0.0,-0.007292854710014468,0.0,-0.0036747729907694593,12,-0.000612975930931424,-0.007330962965134136,0.08333333333333333,-0.005228124927240424,0.001238887509151804,-0.007330962965134136
TV_ALL_STRONG,TV,20,TV_ALL_D>0.5,20.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
TV_ALL_STRONG,TV,20,TV_ALL_D>0.5,40.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
TV_ALL_STRONG,TV,20,TV_ALL_D>0.5,60.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
TV_OSC_BUY,TV,20,TV_OSC_D>0.1,20.0,0.15750000000000003,3.15,0.1541666666666667,59,-0.0008077056585374682,-0.046555335472499126,0.3559322033898305,-0.0561338639933232,0.07921065871634823,-0.13219554641034204,11,0.0016440942250137587,0.0182344396822145,0.45454545454545453,-0.02304328208055275,0.02479920187540049,-0.03743716443223821,12,0.006555726253327269,0.08156814187298056,0.5833333333333334,-0.02165893144857025,0.03575262651722002,-0.024352030460313867,12,-0.003560703184493469,-0.04190150286898875,0.3333333333333333,-0.0561338639933232,0.07921065871634823,-0.11504449328775024,12,-0.0023079332027202857,-0.027346336299655882,0.25,-0.021312122717288946,0.07385714554182278,-0.1050936418421966
