month_end,history_start,history_end,formula_id,selected_geo,selected_positive,gross_return,turnover,transaction_cost,realized_return
1985-08-31,1983-08-31,1985-07-31,F0001,0.004962028884148095,0.5,-0.17540698800517873,0.95,0.0019,-0.17730698800517875
1985-09-30,1983-09-30,1985-08-31,F0001,-0.01038988341770608,0.46153846153846156,0.0,0.95,0.0019,-0.0019
1985-10-31,1983-10-31,1985-09-30,F0001,-0.00978586537732462,0.42857142857142855,0.0,0.95,0.0019,-0.0019
1985-11-30,1983-11-30,1985-10-31,F0001,-0.009262084872127874,0.4,-0.05559581414904624,0.95,0.0019,-0.05749581414904624
1985-12-31,1983-12-31,1985-11-30,F0001,-0.012347732638262388,0.375,-0.02354784406264754,0.95,0.0019,-0.025447844062647537
1986-01-31,1984-01-31,1985-12-31,F0001,-0.013123179038312505,0.35294117647058826,-0.024115233511333933,0.95,0.0019,-0.026015233511333932
1986-02-28,1984-02-29,1986-01-31,F0001,-0.01384386036069074,0.3333333333333333,0.0,0.95,0.0019,-0.0019
1986-03-31,1984-03-31,1986-02-28,F0001,-0.013218814471319895,0.3157894736842105,-0.07390316577174882,0.95,0.0019,-0.07580316577174882
1986-04-30,1984-04-30,1986-03-31,F0001,-0.016446379855196036,0.3,-0.026683115326153306,0.95,0.0019,-0.028583115326153305
1986-05-31,1984-05-31,1986-04-30,F0001,-0.017027743157973618,0.2857142857142857,-0.027414842821135044,0.95,0.0019,-0.029314842821135043
1986-06-30,1984-06-30,1986-05-31,F0001,-0.017589607049156353,0.2727272727272727,-0.028187827636584672,0.95,0.0019,-0.03008782763658467
1986-07-31,1984-07-31,1986-06-30,F0001,-0.01813634192307345,0.2608695652173913,0.2825972902917582,0.95,0.0019,0.28069729029175816
1986-08-31,1984-08-31,1986-07-31,F0001,-0.007205589478221031,0.2916666666666667,0.4387616404424912,0.95,0.0019,0.4368616404424912
1986-09-30,1984-09-30,1986-08-31,F0001,0.008796715635244645,0.3333333333333333,0.20301127165027788,0.95,0.0019,0.20111127165027787
1986-10-31,1984-10-31,1986-09-30,F0001,0.01620072384031257,0.3333333333333333,-0.024971262036347697,0.95,0.0019,-0.026871262036347696
1986-11-30,1984-11-30,1986-10-31,F0001,0.015128474638068656,0.3333333333333333,0.1537888425531171,0.95,0.0019,0.15188884255311708
1986-12-31,1984-12-31,1986-11-30,F0001,0.022456205435147814,0.375,0.22223989541445932,0.95,0.0019,0.2203398954144593
1987-01-31,1985-01-31,1986-12-31,F0001,0.02979791730216741,0.375,0.02273419299534729,0.95,0.0019,0.020834192995347292
1987-02-28,1985-02-28,1987-01-31,F0001,0.03076474768374715,0.4166666666666667,0.3422485831494402,0.95,0.0019,0.34034858314944016
1987-03-31,1985-03-31,1987-02-28,F0001,0.04106191905097911,0.4166666666666667,0.17217570988713327,0.95,0.0019,0.17027570988713325
